"coordenadas","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","direccion_Verificado.x","calle_Verificado.x","numero_Verificado.x","colonia_Verificado.x","cp_Verificado.x","ciudad_municipio_Verificado.x","estado_Verificado.x","pais_Verificado.x","lat_Verificado.x","long_Verificado.x","direccion_Verificado.y","calle_Verificado.y","numero_Verificado.y","colonia_Verificado.y","cp_Verificado.y","ciudad_municipio_Verificado.y","estado_Verificado.y","pais_Verificado.y","lat_Verificado.y","long_Verificado.y"
"-92.092638, 15.5956333",-92.092638,15.5956333,"Pakayalito","<img src=""https://lh4.googleusercontent.com/OfGDbV97oo_DaOu0sYW2s1MIeEblX6V6rEVQ_Jvri4seFpQl0HO2AfvkZWlsWENS_As1ZRPaw4g0PHynM56WJlHAzDY9zS_gnwA6CGtLZjjxTu6dOgoNzg3VF3kSzWWPqw"" height=""200"" width=""auto"" /><br><br><br><br><img src=""https://lh4.googleusercontent.com/Gi8TNsdwPhwxNYc3RskleBoPqT6VXJ26vshcPsNXcvj59lwHzqOp6anocW_y-wk7yetWXY5flj_v4TpUs_2yBw9lhuPoADvtTO_-UALGWAZsK_583lxec118ig-kHQUqhw"" height=""200"" width=""auto"" /><br><br><img src=""https://lh6.googleusercontent.com/pZNCAhByLi7LY6SmDdxMK9-3OvKenMmKz8nK6138C6Lb3_0-p70qOGwPDcrX-9Vh9iawuuovU3bZtpzWCo2kUvPf8TOIZO46IzlXx6V86e4jHJe0Sv-_CUoOoAEA5ik"" height=""200"" width=""auto"" />",NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5956333,-92.092638,NA,NA,NA,NA,NA,NA,NA,NA,15.5956333,-92.092638
"-92.715919, 17.1397447",-92.715919,17.1397447,"Ejido Constitución, Simojovel,  Chiapas. ","<img src=""https://lh3.googleusercontent.com/Doq_RktZAgxNUAE8HXpyVjEsXvXftUmJ8gAAF6yyxjGuP7HbBIBnR0pftxQgTWI4WpSAXCpUQDTEjoee2wCe4iEMOcvcNjTFiGLw8vwEwVfDM7iWSeGgBqCQpCULg0Rp"" height=""200"" width=""auto"" /><br><br>Así está la situación del Ejido Constitucion municipio de Simojovel, son 5 casas destruidas totalmente más 11 casas afectadas hoy necesitan de nuestra solidaridad ofrendando alimentos, ropa, dinero y material para las casas. Todos y todas llamados a ser solidarios. Más información en mi face: Pbro Marcelo Pérez Pérez y por este medio.<br><br><img src=""https://lh3.googleusercontent.com/F4c7cJ9ZCubQZwJiHgz6R_vGUcGb3pdAKysQ8kUV3D8sQJE0bxE4hz1tcUWX6s3z1e8wzwtP16J-ew3kUbyzW0Mh3FXA6QB48qIAflELEiSh91g9PK6PWRdlYA2MzhVk_Q"" height=""200"" width=""auto"" /><br><br><img src=""https://lh3.googleusercontent.com/4F0Y7As0eoI_F5kZ4CKtLCY4WsNeTcaq3rgZxqKSBBWsE2W77qW__OXNrXW1ho5ZBjGl3YsNcOiopMsLLtW7suIX2Zq-r1aiPMdjkHERUTezG0GrtR4Y7toWXs2SkI8"" height=""200"" width=""auto"" /><br><br><img src=""https://lh6.googleusercontent.com/GobpoXlBGer8eAlKbTr-0v82fQqnwy0f0UIWMmYAweiTOCAJhu4XlsB27Qzm55LBttuCpnmCVv09f7zmtUf1UqcaEOmjl5Q3cfmJ9yHFzuqPMVOftJmGFxGqHzUqW64"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/UQrq79HFJJMueYO0rWvfUMgl7ZOlB2xSaYTpQyYzq0OfljtuFfGFFkx1zP03ak73QK0n-5dKvI6-kXrQ2I16ZmYfopPCK5k5Z5Ssw01w-W04hCXgGhLMrx82u_EVrJYm"" height=""200"" width=""auto"" /><br><br><img src=""https://lh3.googleusercontent.com/x7zSO3saHOWE6kKDf_jFVS7GbqzaCA5SsA-oKZD871ZBrmtuHrWSZ079_sIzR_MlF8JeWDpmxu9ir0Y2lEfi3_wGRi-0CpEq0RoGyqSZl3svEeJdn55CYHDM2L5t2I8"" height=""200"" width=""auto"" /><br><br><img src=""https://lh4.googleusercontent.com/5d6bLY1m57CfNHSp6_mE_cGl-4j-Rj7CRNIZSXFYvat8vPc2yAoWzYw_7JgS2-XdYUiOC0YFnLPZ8qxDUiAVD9HugLApcAoku5RnOA_Mpkkxd6Mkg6ZTWZGfNeJDXEuu"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/8y9N3wl-Gs6tE9r8_oudk4zIRRIfcJUfq3cybskkPYHavl7C2Qim2YvFislP02jE-srV2fUBw2h7gVQj5pkfLpwRnPpwkSExVdFkZEDHSQ16cOrp4gMBQlwUQlBXomQ"" height=""200"" width=""auto"" /><br><br><img src=""https://lh3.googleusercontent.com/M6zEvM4GYOUQbIvWFcqZs6nM-dRc-cxvk9c9c3x-p3jQ4_p_3JR0jUL1ynK2D3cBi-UaApXWDJ8r3Yx64xImwh_JfspQUtOjVR2LYhNkPYau9eapBU2TNwqIcTeWZp4z"" height=""200"" width=""auto"" />",NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1397447,-92.715919,NA,NA,NA,NA,NA,NA,NA,NA,17.1397447,-92.715919
"-93.0130864, 16.7087326",-93.0130864,16.7087326,"Chiapa de Corzo","<img src=""https://lh5.googleusercontent.com/GOkB-vtp9bE5DEgt8y1XPnIh5_W0ACoZPVR6rK67JnYNnNraL3nt4rWzgLXwkHATY7CoTJy-oCU3NojWOzxyBLQIJuTpqoHnCl9Q05PH7cepHDEtYiDg8MRCUCFA_yEH"" height=""200"" width=""auto"" /><br><br><br><br><img src=""https://lh3.googleusercontent.com/pf5VVbaj7upG0dwb-laE0mAWi-KvJpsnKWf1VIcoR1BjaVkld8Rg4vafYZyYUoGjd9wSavRdM2QDNq0rhlYlH7NHpIRNE_47zfDRmATZ3FDC8hiwUMfVLH6LLX2vbHUN"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/qveOs36_JQgzWAGZ2_m6hN3K40bty9Zd-fpT-VL7I0CMjsfI_Uau7dbxOYdYFJzIrfoOMijyq6yKubKKZKbiI8Cavg3HMBTqLCFXGMJlkuFjeCzrzxMTBZKOIv79pv4"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/PCT0aCQrjVfRk8ZbNFFQDoV6kwYLhSsLGVEciE4XDCDH4RyjsAZeLwG4kX2RO_3eQw_Z4NbGU2VNwAldjTRxEDNXoQ_7qGOveH-3G5E7DpUjFcVFULoaCbb5GSbSMxkJ"" height=""200"" width=""auto"" /><br><br><img src=""https://lh4.googleusercontent.com/UQ-9mDq-aSCMl1WPa8EeGCwyjwp28Dv_OpfD493rBdfHPighboJyASyNPu9lxkR-gRyV4Np46EfxtI0jypa7uD7lHe1g9PMf_XHqYT6_yRRZf3Fjy1rpFRVRNbF9pco"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/C-5s4zhaNSckiruHgyyAzEwk6RmpnB1m40ZCbHvudbnd6kW1fjDp2ODb2aUtl7jNsVn7cA8KChVnNcpo0E3cTOopnaP-exK8iYXdXl0iXudUxKwxSTT-m4O8fF5QKzIYJw"" height=""200"" width=""auto"" /><br><br><img src=""https://lh4.googleusercontent.com/bG1qW1HDZPSuClppZ9E0ec7amGdCZifWkHJr3xeDdFJfwkPNl77-0pisuvuZyaqT4PoNWWZw1tVzCc1_5dpe_asnVErxOdVWN-0Otbs4nTDL2IfgXZy7Yi2oRdjdNT8"" height=""200"" width=""auto"" />",NA,NA,NA,NA,-1,0,-1,NA,NA,"Cuauhtémoc 130-402, San Gregorio, San Jacinto, 29160 Chiapa de Corzo, Chis., Mexico","Cuauhtémoc","130-402","San Jacinto",29160,"Chiapa de Corzo","Chiapas","Mexico",16.7087326,-93.0130864,"Cuauhtémoc 130-402, San Gregorio, San Jacinto, 29160 Chiapa de Corzo, Chis., Mexico","Cuauhtémoc","130-402","San Jacinto","29160","Chiapa de Corzo","Chiapas","Mexico",16.7087326,-93.0130864
"-93.1153107, 16.7562217",-93.1153107,16.7562217,"Tuxtla Gutiérrez","<img src=""https://lh5.googleusercontent.com/dSuwdMUn_B6REH5E_-_PVU3QFjer4nQSKanXPlfYk5lTianVC5lz4QKO6jG0AmRAucy2F5FQ7K6UlrlMB8rfCXJEwZpotYQNMRetS61N7pGBTQU5AMISaxxw22AXOQo1"" height=""200"" width=""auto"" /><br><br><br><br><img src=""https://lh3.googleusercontent.com/GlOpFm09NF5ZWWp6Oame2wT-JYkixYgf0PF_MsindFwPlmzBSY2D5lwjY1csuZiSTJgHnjbY8FmpjIHVjpDvgMl4ma7aw_YxTy3UzrPYEp-Mv5Hd8jvwU793vSC50oE"" height=""200"" width=""auto"" /><br><br><img src=""https://lh3.googleusercontent.com/agbJX-jBa38htTppvhvy_Jd_0lRPXLolQFVeGvAwUSOt5IVrxno5K0KjFeNlZOEc0bSFuxYnm0dhA91BbgXUU6-YZF1zNm0T5oFkJKEHKQABGmqS0X-2hyZ4wiKkkggd"" height=""200"" width=""auto"" />",NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7562217,-93.1153107,"Av 3a. Nte Ote 143, Zona Sin Asignación de Nombre de Col 42, Tuxtla Gutiérrez, Chis., Mexico","Avenida 3a. Norte Oriente","143","Zona Sin Asignación de Nombre de Colonia 42",NA,"Tuxtla Gutiérrez","Chiapas","Mexico",16.7562217,-93.1153107
"-93.6463022, 16.733578",-93.6463022,16.733578,"Nueva Francia","<img src=""https://lh6.googleusercontent.com/rK4HXgsxTe2tIt6MN4Sg6_GTyJH81oK4hUfdRw6ST05-bpcyoMD0rFLiBuJ3be2RUhGf4S98l1faE7cxIiHkdXA4ivRxmkEnj76hRaoTwyB7DJ2RntJMCaR3y9fnodXhuQ"" height=""200"" width=""auto"" /><br><br>",NA,NA,NA,NA,-1,0,-1,NA,NA,"El Caquito, Chiapas, Mexico","El Caquito",NA,NA,NA,NA,"Chiapas","Mexico",16.733578,-93.6463022,"El Caquito, Chiapas, Mexico","El Caquito",NA,NA,NA,NA,"Chiapas","Mexico",16.733578,-93.6463022
"-93.7281418, 16.6960518",-93.7281418,16.6960518,"Barrio Santa Cecilia, Cintalapa, Chiapas.","<img src=""https://lh3.googleusercontent.com/rfQmdQiosm6wgzvQWYxG79Xadtwm4WaxcHN6Vz_D4cvOQalPpLrCNmVXJfUV-AyE6qX-uOLpxWTAfo5H4lmWOVJpqGXbxDi4wEHTWEhxhH9akI5ZPFgwKI3ft4_W9IDySw"" height=""200"" width=""auto"" /><br><br><br><br><img src=""https://lh3.googleusercontent.com/XZNHaqxyVnrEhfAVAIPYhdqAa4N3HGH7hm0eGGXFKzPCt-gZ8gnzWxtG-hKQI8PFcbbuxJyk4LXofBTV1X2flFROSeGXRilIyG1OrKiITgzebvNHUU82EDz6ugHEOb7U"" height=""200"" width=""auto"" /><br><br><img src=""https://lh4.googleusercontent.com/iRpGlj8sbDnJhl0oOTHRICHSZfJ6rvZEG8XXf_jUZyBpVvI8SPo86dmCIP7v5WO4jX7CC1BzlevOW1Ky5R43hcj58L8Nv_nHSY9qzWj-icfjpN20fa6xrQ5dyi5wPbFG"" height=""200"" width=""auto"" /><br><br><img src=""https://lh4.googleusercontent.com/we5BnyYZIuPgXSqfmo6DNdVnkxyJSbLPqcGiUMZrYlga4nBViPGjzf3AUQi0Kwez9i7z9hsuHLPBWWkGOiL0xrtqaAsHf1c3GoNn2bWzkJZMEgsQvx8px09aKGzVUhg"" height=""200"" width=""auto"" /><br><br><img src=""https://lh5.googleusercontent.com/H4Swb8ULCBu1Z1cgvpX2bTIjjXs2rI0hsdpErIOlfHflJf_NwgI-sVZC1UIJl8_5v7usLDb9b96tUxBsfABj0OA_nASq7UXQ61bOvVBYU6YqLhWhzti499ibUqUY6Qh_"" height=""200"" width=""auto"" /><br><br><img src=""https://lh6.googleusercontent.com/suHwNF6KCfEvZUSuIQKbqH1qNmW1OJA1C-q3CHjhtga0kOnEA3Edqvf7JmpsHhwo0vsqUvCMQlEAPjVUPdK3FaKzrWEShCUG78MVF_qL-sfHK-Gc3Q2e02yriNBP6gby"" height=""200"" width=""auto"" /><br><br><img src=""https://lh3.googleusercontent.com/WU_ouw9HiLOkHG_tQdO3I2wwmXqIImxujajUHz6bN3akL5bxcNSpX9lBhy-J3yI3hJxPmlG4ik4358LpSNmRDLPLfNDTpuRaZ0P1eM8RXMDkBXTWYE5wR3ob64NqNez2"" height=""200"" width=""auto"" /><br><br><img src=""https://lh3.googleusercontent.com/GkwrTjihXpj0gymbE_6OXqbzwd26y6g2IsrNMPWzWfCWJ9keVLrvcmIhTlmK-BiUt765v5trfHW4OafdB8yuka60vN7t6vAbKkcq2sMAVyxnobILD__F7T-HW31OQBlT"" height=""200"" width=""auto"" /><br><br><img src=""https://lh4.googleusercontent.com/qQ_L-OpU7rhblsT2i90jojmPiPuNJO_SwKmvbCEke0omMiEF8DJ5cYi_WCTt4nvQDTK0y6XEhNUoBgo_fuHZ6AzZWW9xtSYjgftCHZvaf1QLyjkjSIIdWXBNhLV0V44U"" height=""200"" width=""auto"" />",NA,NA,NA,NA,-1,0,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6960518,-93.7281418,"Septima Pte. Sur 27, Santo Domingo, 30410 Cintalapa de Figueroa, Chis., Mexico","Septima Poniente Sur","27","Santo Domingo","30410","Cintalapa de Figueroa","Chiapas","Mexico",16.6960518,-93.7281418
"-93.7604141, 16.091341",-93.7604141,16.091341,"Tonalá","<img src=""https://lh5.googleusercontent.com/GAa2tMY7NcX9kKmqB9DZqc45nQJpHJQPGQQz2ZRAf8vSPDbD476jjN7arBkKSLp99tWsBKPCLcpFNIjDT89gPPU3bSDbzHYtBI-cOPh_AliD5hc3DaKdbiqwmVjIFYmx"" height=""200"" width=""auto"" /><br><br><br><br><img src=""https://lh4.googleusercontent.com/tDPgTzZ8mrkxOP1YZROa9cJuFTuKtfnukwpzKJ5yMYQ8Q8Ao7eGVQO1krEHIAzSgzwSkdjmZO6x5k1GPPL0hJDTO6IFVLk85O2XrOIIyO9zdJgG_peujzbqdJ6WdWkLd"" height=""200"" width=""auto"" /><br><br><img src=""https://lh3.googleusercontent.com/EIVNJxuDTBzzXCGzjRnjiyHAh7NKvxEjR1rct979_jiwt5lx_cQ5RDaPc1pFfbKm5VI-TiA2fIX2A4LLwPL9gNXCGufvCZbgwx1I1ng-qZiXD1qKxIKK_ejnLIDehhs"" height=""200"" width=""auto"" />",NA,NA,NA,NA,-1,0,-1,NA,NA,"Melchor Ocampo 3, San Martín, 30500 Tonalá, Chis., Mexico","Melchor Ocampo","3","San Martín",30500,"Tonalá","Chiapas","Mexico",16.091341,-93.7604141,"Melchor Ocampo 3, San Martín, 30500 Tonalá, Chis., Mexico","Melchor Ocampo","3","San Martín","30500","Tonalá","Chiapas","Mexico",16.091341,-93.7604141
"-93.7935611, 16.6050067",-93.7935611,16.6050067,"Lázaro Cárdenas","",NA,NA,NA,NA,-1,0,-1,NA,NA,"Central Sur, Lázaro Cárdenas, Chis., Mexico","Central Sur",NA,"Lázaro Cárdenas",NA,"Lázaro Cárdenas","Chiapas","Mexico",16.6050067,-93.7935611,"Central Sur, Lázaro Cárdenas, Chis., Mexico","Central Sur",NA,"Lázaro Cárdenas",NA,"Lázaro Cárdenas","Chiapas","Mexico",16.6050067,-93.7935611
"-93.8661661, 16.0512619",-93.8661661,16.0512619,"Paredón","",NA,NA,NA,NA,-1,0,-1,NA,NA,"Francisco I. Madero 14, Paredón, Chis., Mexico","Francisco I. Madero","14","Paredón",NA,"Paredón","Chiapas","Mexico",16.0512619,-93.8661661,"Francisco I. Madero 14, Paredón, Chis., Mexico","Francisco I. Madero","14","Paredón",NA,"Paredón","Chiapas","Mexico",16.0512619,-93.8661661
"-93.9082146, 16.233135",-93.9082146,16.233135,"Arriaga,  Chiapas. ","Reporte preliminar de Arriaga:<br>1. 896 casas dañadas. <br>2. 57 perdidas totales y 7 cocinas colapsadas. 3. Un aproximado de las comunidades 1100 casas afectadas en cabecera municipal. <br>Teniendo un total de 2060 viviendas.",NA,NA,NA,NA,-1,0,-1,NA,NA,"Onceava Avenida Pte. 810, Cantarrana, 30450 Arriaga, Chis., Mexico","Onceava Avenida Poniente","810","Cantarrana",30450,"Arriaga","Chiapas","Mexico",16.233135,-93.9082146,"Onceava Avenida Pte. 810, Cantarrana, 30450 Arriaga, Chis., Mexico","Onceava Avenida Poniente","810","Cantarrana","30450","Arriaga","Chiapas","Mexico",16.233135,-93.9082146
